snapshot_at,od,origin,destination,outbound_travel_date,return_travel_date,lead_time_days,offer_index,offer_label,price_eur,price_text,carrier_count,carriers,outbound_carrier,inbound_carrier,is_direct,stops_summary,luggage,dynamic_points,outbound_departure_time,outbound_arrival_time,outbound_duration_text,inbound_departure_time,inbound_arrival_time,inbound_duration_text,summary_headline,summary_direct_count,summary_direct_min_price_eur
2026-05-26T20:28:20Z,MUC-PMI,MUC,PMI,2026-05-30,2026-06-06,4,0,Beliebtester Flug,460.92,"460,92 €",1,Discover Airlines,Discover Airlines,Discover Airlines,1,Direkt,"inklusive: kleine Tasche, Handgepäck",,06:00,08:10,2 Std. 10 Min.,08:55,11:10,2 Std. 15 Min.,"706 Flüge nach Palma de Mallorca ab 403,18 €",39,410.0
2026-05-26T20:28:20Z,MUC-PMI,MUC,PMI,2026-05-30,2026-06-06,4,1,Früheste Ankunftszeit,588.98,"588,98 €",1,Condor,Condor,Condor,1,Direkt,"inklusive: kleine Tasche, Handgepäck, Aufgabegepäck",,05:50,08:00,2 Std. 10 Min.,20:55,23:00,2 Std. 5 Min.,"706 Flüge nach Palma de Mallorca ab 403,18 €",39,410.0
2026-05-26T21:24:01Z,LHR-JFK,LHR,JFK,2026-06-16,2026-06-23,21,0,,811.1,"811,10 €",1,American Airlines,American Airlines,American Airlines,1,Direkt,"inklusive: kleine Tasche, Handgepäck",,18:05,21:05,8 Std.,07:50,19:45,6 Std. 55 Min.,"422 Flüge nach New York City ab 708,53 €",100,812.0
2026-05-26T21:24:01Z,LHR-JFK,LHR,JFK,2026-06-16,2026-06-23,21,1,,811.1,"811,10 €",1,American Airlines,American Airlines,American Airlines,1,Direkt,"inklusive: kleine Tasche, Handgepäck",,18:05,21:05,8 Std.,19:15,07:20,7 Std. 5 Min.,"422 Flüge nach New York City ab 708,53 €",100,812.0
2026-05-26T21:24:01Z,LHR-JFK,LHR,JFK,2026-06-16,2026-06-23,21,2,,811.1,"811,10 €",1,American Airlines,American Airlines,American Airlines,1,Direkt,"inklusive: kleine Tasche, Handgepäck",,18:05,21:05,8 Std.,09:30,21:40,7 Std. 10 Min.,"422 Flüge nach New York City ab 708,53 €",100,812.0
2026-05-26T21:24:01Z,LHR-JFK,LHR,JFK,2026-06-16,2026-06-23,21,3,,811.1,"811,10 €",1,American Airlines,American Airlines,American Airlines,1,Direkt,"inklusive: kleine Tasche, Handgepäck",,18:05,21:05,8 Std.,18:05,06:25,7 Std. 20 Min.,"422 Flüge nach New York City ab 708,53 €",100,812.0
2026-05-26T21:24:01Z,LHR-JFK,LHR,JFK,2026-06-16,2026-06-23,21,4,,849.1,"849,10 €",1,American Airlines,American Airlines,American Airlines,1,Direkt,"inklusive: kleine Tasche, Handgepäck",,08:20,11:10,7 Std. 50 Min.,07:50,19:45,6 Std. 55 Min.,"422 Flüge nach New York City ab 708,53 €",100,812.0
2026-05-26T21:24:11Z,MAD-BCN,MAD,BCN,2026-06-16,2026-06-23,21,0,,156.89,"156,89 €",1,Air Europa,Air Europa,Air Europa,1,Direkt,"inklusive: kleine Tasche, Handgepäck",,15:10,16:35,1 Std. 25 Min.,20:30,21:55,1 Std. 25 Min.,"321 Flüge nach Barcelona ab 156,89 €",249,157.0
2026-05-26T21:24:11Z,MAD-BCN,MAD,BCN,2026-06-16,2026-06-23,21,1,,192.89,"192,89 €",1,Air Europa,Air Europa,Air Europa,1,Direkt,"inklusive: kleine Tasche, Handgepäck, Aufgabegepäck",,15:10,16:35,1 Std. 25 Min.,20:30,21:55,1 Std. 25 Min.,"321 Flüge nach Barcelona ab 156,89 €",249,157.0
2026-05-26T21:24:11Z,MAD-BCN,MAD,BCN,2026-06-16,2026-06-23,21,2,,196.89,"196,89 €",1,Air Europa,Air Europa,Air Europa,1,Direkt,"inklusive: kleine Tasche, Handgepäck",,07:30,08:55,1 Std. 25 Min.,20:30,21:55,1 Std. 25 Min.,"321 Flüge nach Barcelona ab 156,89 €",249,157.0
