snapshot_at,region,airline,od,origin,destination,distance_km,demand_tier,homebase_match,current_airline_od_flights,current_global_od_flights,current_competitor_count,current_airline_od_share,future_airline_od_flights,future_global_od_flights,future_airline_od_share,future_growth_ratio,future_share_delta,label_increase_frequency,label_share_gain,label_upgauge_pressure,horizon_hours,check24_yield_proxy_eur_per_1000km,check24_direct_yield_proxy_eur_per_1000km,check24_records,check24_direct_count,check24_direct_min_price_eur,check24_offer_min_price_eur,check24_offer_avg_price_eur,check24_direct_offer_share,check24_offer_lead_time_days,check24_snapshot_age_hours,aviationstack_route_records,aviationstack_route_airline_count,aviationstack_target_airline_records,aviationstack_target_airline_present,aviationstack_route_departure_hour_avg,aviationstack_route_scheduled_share,airlabs_route_records,airlabs_route_airline_count,airlabs_target_airline_records,airlabs_target_airline_present,airlabs_route_avg_speed,airlabs_route_aircraft_type_count,airlabs_route_avg_seats,airlabs_route_total_capacity_proxy,airlabs_target_airline_avg_seats,fr24_route_records,fr24_route_airline_count,fr24_target_airline_records,fr24_target_airline_present,fr24_route_aircraft_type_count,fr24_route_avg_seats,fr24_route_total_capacity_proxy,fr24_target_airline_avg_seats
2026-05-07T23:21:20Z,Europe,9A,FRA-MUC,FRA,MUC,0,,0,1,97,4,0.0103,1,97,0.0103,1.0,0.0,0,0,1,0.12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
2026-05-07T23:21:20Z,Europe,9A,MUC-LGZA,MUC,LGZ,0,,0,1,2,1,0.5,1,2,0.5,1.0,0.0,0,0,0,0.12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
2026-05-07T23:21:20Z,Europe,9A,MUC-LIMJ,MUC,LIM,0,,0,1,14,3,0.0714,1,14,0.0714,1.0,0.0,0,0,1,0.12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
2026-05-07T23:21:20Z,Europe,9H,AMS-EHRD,AMS,EHR,0,,0,1,4,1,0.25,1,4,0.25,1.0,0.0,0,0,0,0.12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
2026-05-07T23:21:20Z,Europe,AA,AMS-KPHL,AMS,KPH,0,,0,6,6,0,1.0,6,6,1.0,1.0,0.0,0,0,0,0.12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
2026-05-07T23:21:20Z,Europe,AA,CDG-DFW,CDG,DFW,0,,1,6,10,1,0.6,6,10,0.6,1.0,0.0,0,0,1,0.12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
2026-05-07T23:21:20Z,Europe,AA,CDG-EIDW,CDG,EID,0,,0,1,49,3,0.0204,1,49,0.0204,1.0,0.0,0,0,1,0.12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
2026-05-07T23:21:20Z,Europe,AA,CDG-JFK,CDG,JFK,0,,0,5,56,4,0.0893,5,56,0.0893,1.0,0.0,0,0,1,0.12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
2026-05-07T23:21:20Z,Europe,AA,CDG-KCLT,CDG,KCL,0,,0,4,4,0,1.0,4,4,1.0,1.0,0.0,0,0,0,0.12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
2026-05-07T23:21:20Z,Europe,AA,CDG-KPHL,CDG,KPH,0,,0,7,7,0,1.0,7,7,1.0,1.0,0.0,0,0,0,0.12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
2026-05-07T23:21:20Z,Europe,AA,CDG-NC05,CDG,NC0,0,,0,1,1,0,1.0,1,1,1.0,1.0,0.0,0,0,0,0.12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
2026-05-07T23:21:20Z,Europe,AA,FCO-DFW,FCO,DFW,0,,1,6,6,0,1.0,6,6,1.0,1.0,0.0,0,0,0,0.12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
2026-05-07T23:21:20Z,Europe,AA,FCO-JFK,FCO,JFK,0,,0,6,44,4,0.1364,6,44,0.1364,1.0,0.0,0,0,1,0.12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
